response_key,response_time_min,mitigation_method,outcome,security_tools_used
29247,66,Block IP,Failure,IDS
29248,140,Patch,Failure,SIEM
29249,129,Block IP,Failure,Endpoint Detection
29250,158,Block IP,Success,Antivirus
29251,62,Containment,Success,VPN
29252,102,Quarantine,Failure,VPN
29253,90,Patch,Success,SIEM
29254,21,Quarantine,Success,Firewall
29255,44,Patch,Failure,SIEM
29256,131,Quarantine,Success,SIEM
29257,142,Containment,Success,VPN
29258,82,Quarantine,Success,MFA
29259,102,Patch,Failure,Firewall
29260,76,Block IP,Failure,VPN
29261,81,Patch,Failure,IDS
29262,80,Reset Credentials,Success,MFA
29263,116,Containment,Success,SIEM
29264,49,Containment,Success,SIEM
29265,39,Reset Credentials,Success,Firewall
29266,143,Containment,Success,Firewall
29267,131,Reset Credentials,Failure,Endpoint Detection
29268,6,Reset Credentials,Success,MFA
29269,89,Block IP,Failure,IDS
29270,100,Quarantine,Success,SIEM
29271,46,Patch,Failure,SIEM
29272,2,Patch,Failure,WAF
29273,67,Reset Credentials,Success,Endpoint Detection
29274,171,Patch,Failure,Antivirus
29275,80,Reset Credentials,Failure,IDS
29276,5,Quarantine,Failure,Endpoint Detection
29277,105,Reset Credentials,Success,Antivirus
29278,24,Reset Credentials,Failure,MFA
29279,129,Reset Credentials,Success,VPN
29280,58,Reset Credentials,Failure,Antivirus
29281,112,Patch,Failure,IDS
29282,154,Block IP,Failure,SIEM
29283,108,Block IP,Failure,Endpoint Detection
29284,153,Quarantine,Success,VPN
29285,23,Reset Credentials,Failure,Antivirus
29286,178,Quarantine,Success,IDS
29287,83,Block IP,Success,Antivirus
29288,6,Patch,Success,SIEM
29289,26,Quarantine,Success,WAF
29290,57,Block IP,Failure,VPN
29291,53,Block IP,Failure,MFA
29292,95,Patch,Failure,SIEM
29293,171,Quarantine,Success,VPN
29294,50,Block IP,Failure,WAF
29295,122,Quarantine,Success,SIEM
29296,133,Block IP,Success,WAF
29297,168,Containment,Failure,WAF
29298,61,Reset Credentials,Failure,SIEM
29299,19,Quarantine,Failure,Antivirus
29300,17,Block IP,Failure,Endpoint Detection
29301,8,Containment,Success,Endpoint Detection
29302,3,Quarantine,Success,WAF
29303,5,Reset Credentials,Failure,Antivirus
29304,80,Containment,Success,IDS
29305,110,Quarantine,Success,Firewall
29306,96,Reset Credentials,Success,Endpoint Detection
29307,107,Reset Credentials,Success,Antivirus
29308,42,Reset Credentials,Success,VPN
29309,7,Patch,Success,MFA
29310,136,Patch,Failure,Endpoint Detection
29311,107,Patch,Failure,IDS
29312,34,Patch,Success,Antivirus
29313,124,Block IP,Failure,MFA
29314,179,Reset Credentials,Failure,Endpoint Detection
29315,56,Quarantine,Success,IDS
29316,165,Quarantine,Failure,WAF
29317,122,Patch,Failure,MFA
29318,112,Block IP,Success,IDS
29319,45,Containment,Failure,VPN
29320,94,Containment,Success,SIEM
29321,20,Containment,Success,Antivirus
29322,67,Quarantine,Failure,Firewall
29323,61,Reset Credentials,Failure,Antivirus
29324,91,Quarantine,Success,SIEM
29325,54,Block IP,Failure,Endpoint Detection
29326,109,Quarantine,Success,VPN
29327,80,Quarantine,Failure,IDS
29328,84,Block IP,Success,Firewall
29329,25,Patch,Failure,VPN
29330,80,Patch,Success,SIEM
29331,54,Block IP,Failure,WAF
29332,45,Containment,Failure,WAF
29333,85,Block IP,Failure,IDS
29334,71,Quarantine,Success,WAF
29335,161,Block IP,Success,WAF
29336,146,Quarantine,Failure,VPN
29337,113,Quarantine,Success,IDS
29338,10,Patch,Success,VPN
29339,145,Patch,Success,MFA
29340,49,Quarantine,Success,Antivirus
29341,180,Patch,Failure,Endpoint Detection
29342,61,Containment,Failure,Antivirus
29343,21,Reset Credentials,Failure,MFA
29344,107,Patch,Success,WAF
29345,85,Quarantine,Success,Antivirus
29346,52,Quarantine,Success,WAF
29347,154,Reset Credentials,Failure,WAF
29348,170,Reset Credentials,Failure,WAF
29349,43,Containment,Failure,MFA
29350,171,Block IP,Failure,IDS
29351,138,Reset Credentials,Success,MFA
29352,146,Block IP,Failure,MFA
29353,152,Patch,Success,IDS
29354,13,Patch,Success,Firewall
29355,69,Patch,Failure,IDS
29356,125,Quarantine,Failure,Endpoint Detection
29357,94,Quarantine,Failure,WAF
29358,27,Quarantine,Failure,VPN
29359,114,Reset Credentials,Failure,MFA
29360,105,Patch,Failure,VPN
29361,70,Reset Credentials,Success,MFA
29362,6,Quarantine,Failure,SIEM
29363,78,Patch,Success,Antivirus
29364,116,Block IP,Failure,Firewall
29365,58,Containment,Success,MFA
29366,84,Block IP,Failure,SIEM
29367,8,Quarantine,Success,Firewall
29368,2,Containment,Success,MFA
29369,109,Patch,Failure,Endpoint Detection
29370,137,Patch,Failure,VPN
29371,143,Block IP,Success,Firewall
29372,98,Reset Credentials,Failure,MFA
29373,173,Quarantine,Failure,MFA
29374,174,Patch,Success,VPN
29375,137,Patch,Success,SIEM
29376,124,Containment,Failure,MFA
29377,28,Containment,Success,Firewall
29378,77,Block IP,Failure,SIEM
29379,140,Quarantine,Failure,VPN
29380,91,Block IP,Failure,VPN
29381,130,Patch,Failure,WAF
29382,1,Reset Credentials,Failure,VPN
29383,120,Reset Credentials,Failure,SIEM
29384,22,Quarantine,Failure,VPN
29385,92,Patch,Failure,IDS
29386,73,Containment,Failure,MFA
29387,178,Block IP,Success,SIEM
29388,58,Containment,Failure,IDS
29389,135,Quarantine,Failure,Firewall
29390,104,Containment,Failure,Antivirus
29391,175,Patch,Failure,Firewall
29392,43,Containment,Failure,Endpoint Detection
29393,151,Containment,Failure,MFA
29394,85,Reset Credentials,Success,Firewall
29395,66,Reset Credentials,Success,VPN
29396,107,Containment,Success,VPN
29397,149,Patch,Failure,Antivirus
29398,108,Patch,Failure,VPN
29399,95,Patch,Failure,IDS
29400,133,Block IP,Failure,MFA
29401,29,Containment,Success,MFA
29402,144,Containment,Success,MFA
29403,114,Quarantine,Success,WAF
29404,104,Block IP,Success,SIEM
29405,3,Reset Credentials,Failure,WAF
29406,78,Patch,Failure,SIEM
29407,138,Containment,Success,WAF
29408,120,Reset Credentials,Failure,MFA
29409,76,Block IP,Success,Endpoint Detection
29410,107,Containment,Success,Firewall
29411,99,Patch,Failure,Endpoint Detection
29412,49,Quarantine,Failure,WAF
29413,7,Quarantine,Failure,Firewall
29414,11,Block IP,Failure,VPN
29415,87,Containment,Success,Firewall
29416,164,Quarantine,Success,IDS
29417,59,Containment,Failure,Endpoint Detection
29418,88,Containment,Failure,WAF
29419,131,Block IP,Success,Endpoint Detection
29420,19,Quarantine,Success,VPN
29421,141,Containment,Success,MFA
29422,107,Reset Credentials,Success,SIEM
29423,155,Containment,Failure,Firewall
29424,55,Block IP,Success,VPN
29425,80,Block IP,Success,MFA
29426,38,Block IP,Failure,IDS
29427,121,Reset Credentials,Success,SIEM
29428,127,Patch,Failure,Endpoint Detection
29429,9,Patch,Success,Antivirus
29430,133,Quarantine,Success,Firewall
29431,66,Quarantine,Success,MFA
29432,93,Patch,Success,Endpoint Detection
29433,91,Reset Credentials,Failure,WAF
29434,46,Quarantine,Failure,Endpoint Detection
29435,8,Reset Credentials,Success,VPN
29436,61,Patch,Failure,IDS
29437,167,Block IP,Success,Antivirus
29438,113,Reset Credentials,Success,IDS
29439,103,Block IP,Failure,Firewall
29440,30,Block IP,Success,WAF
29441,96,Block IP,Success,SIEM
29442,86,Containment,Failure,VPN
29443,134,Containment,Failure,SIEM
29444,29,Quarantine,Failure,VPN
29445,163,Block IP,Failure,Firewall
29446,6,Quarantine,Failure,SIEM
29447,139,Patch,Success,IDS
29448,14,Containment,Failure,MFA
29449,127,Quarantine,Failure,Antivirus
29450,164,Containment,Success,IDS
29451,6,Block IP,Failure,VPN
29452,48,Block IP,Failure,SIEM
29453,39,Quarantine,Failure,Antivirus
29454,2,Block IP,Success,Antivirus
29455,142,Patch,Success,VPN
29456,85,Block IP,Success,Firewall
29457,59,Block IP,Success,Firewall
29458,156,Block IP,Failure,IDS
29459,48,Quarantine,Failure,Firewall
29460,67,Block IP,Failure,SIEM
29461,108,Quarantine,Failure,IDS
29462,28,Quarantine,Success,SIEM
29463,31,Block IP,Success,Firewall
29464,103,Block IP,Success,MFA
29465,75,Block IP,Success,SIEM
29466,15,Block IP,Failure,Endpoint Detection
29467,178,Patch,Failure,WAF
29468,149,Reset Credentials,Failure,MFA
29469,127,Patch,Success,IDS
29470,18,Reset Credentials,Failure,IDS
29471,32,Containment,Failure,Endpoint Detection
29472,46,Patch,Failure,Firewall
29473,178,Reset Credentials,Success,Antivirus
29474,83,Quarantine,Success,Antivirus
29475,29,Patch,Success,Firewall
29476,45,Containment,Failure,Firewall
29477,7,Reset Credentials,Failure,Endpoint Detection
29478,80,Containment,Success,Endpoint Detection
29479,59,Reset Credentials,Failure,Firewall
29480,178,Reset Credentials,Success,WAF
29481,35,Quarantine,Success,MFA
29482,111,Containment,Failure,WAF
29483,114,Quarantine,Failure,IDS
29484,55,Quarantine,Success,VPN
29485,118,Quarantine,Success,Antivirus
29486,33,Reset Credentials,Success,SIEM
29487,34,Quarantine,Failure,VPN
29488,96,Reset Credentials,Failure,Antivirus
29489,86,Quarantine,Success,VPN
29490,4,Block IP,Failure,Endpoint Detection
29491,66,Block IP,Success,Antivirus
29492,104,Quarantine,Success,Antivirus
29493,118,Patch,Success,SIEM
29494,2,Quarantine,Failure,Antivirus
29495,154,Block IP,Failure,VPN
29496,77,Patch,Success,MFA
29497,39,Quarantine,Failure,SIEM
29498,67,Reset Credentials,Success,SIEM
29499,163,Patch,Failure,WAF
29500,111,Patch,Failure,WAF
29501,45,Containment,Failure,WAF
29502,25,Patch,Success,Antivirus
29503,162,Patch,Success,MFA
29504,25,Containment,Success,Firewall
29505,70,Patch,Failure,Firewall
29506,92,Block IP,Success,Endpoint Detection
29507,89,Reset Credentials,Success,SIEM
29508,93,Block IP,Success,Antivirus
29509,121,Patch,Failure,VPN
29510,145,Quarantine,Failure,VPN
29511,94,Quarantine,Failure,WAF
29512,21,Containment,Success,Firewall
29513,136,Block IP,Failure,SIEM
29514,18,Containment,Failure,MFA
29515,67,Quarantine,Failure,Antivirus
29516,90,Reset Credentials,Failure,WAF
29517,9,Block IP,Failure,Antivirus
29518,110,Containment,Success,VPN
29519,6,Patch,Success,VPN
29520,163,Reset Credentials,Failure,WAF
29521,115,Containment,Failure,WAF
29522,84,Containment,Success,Antivirus
29523,176,Quarantine,Failure,SIEM
29524,19,Block IP,Failure,SIEM
29525,75,Block IP,Success,Antivirus
29526,168,Block IP,Failure,Endpoint Detection
29527,162,Patch,Success,Firewall
29528,110,Quarantine,Success,MFA
29529,36,Patch,Failure,IDS
29530,45,Reset Credentials,Success,WAF
29531,155,Quarantine,Success,Antivirus
29532,31,Quarantine,Failure,IDS
29533,46,Block IP,Failure,VPN
29534,149,Quarantine,Failure,Endpoint Detection
29535,162,Reset Credentials,Failure,Endpoint Detection
29536,123,Containment,Success,MFA
29537,141,Quarantine,Success,SIEM
29538,66,Quarantine,Success,IDS
29539,119,Containment,Failure,Antivirus
29540,2,Quarantine,Failure,MFA
29541,32,Containment,Success,MFA
29542,11,Block IP,Failure,WAF
29543,16,Containment,Failure,Firewall
29544,93,Block IP,Failure,IDS
29545,168,Containment,Success,SIEM
29546,38,Quarantine,Failure,SIEM
29547,180,Quarantine,Success,Antivirus
29548,103,Quarantine,Success,SIEM
29549,147,Quarantine,Failure,Firewall
29550,57,Block IP,Success,SIEM
29551,113,Patch,Failure,Antivirus
29552,7,Quarantine,Failure,VPN
29553,54,Reset Credentials,Failure,MFA
29554,126,Patch,Success,Endpoint Detection
29555,16,Quarantine,Failure,SIEM
29556,132,Quarantine,Failure,VPN
29557,17,Patch,Success,SIEM
29558,89,Reset Credentials,Success,MFA
29559,47,Patch,Success,Firewall
29560,135,Reset Credentials,Failure,VPN
29561,106,Patch,Failure,MFA
29562,69,Patch,Success,WAF
29563,3,Quarantine,Failure,IDS
29564,67,Block IP,Failure,MFA
29565,51,Containment,Success,SIEM
29566,88,Containment,Failure,SIEM
29567,59,Reset Credentials,Success,Antivirus
29568,93,Patch,Success,IDS
29569,168,Patch,Failure,Firewall
29570,146,Patch,Failure,Endpoint Detection
29571,49,Containment,Success,WAF
29572,11,Block IP,Success,Endpoint Detection
29573,17,Block IP,Failure,VPN
29574,95,Patch,Success,Endpoint Detection
29575,50,Quarantine,Success,WAF
29576,12,Quarantine,Failure,Firewall
29577,36,Containment,Failure,Firewall
29578,126,Quarantine,Failure,Endpoint Detection
29579,88,Patch,Success,SIEM
29580,13,Reset Credentials,Success,WAF
29581,1,Patch,Failure,SIEM
29582,108,Containment,Failure,Firewall
29583,72,Reset Credentials,Success,WAF
29584,125,Reset Credentials,Failure,Antivirus
29585,61,Reset Credentials,Failure,Antivirus
29586,20,Reset Credentials,Success,WAF
29587,32,Quarantine,Failure,Endpoint Detection
29588,22,Block IP,Success,VPN
29589,66,Reset Credentials,Failure,Firewall
29590,20,Patch,Success,Firewall
29591,122,Patch,Failure,Firewall
29592,13,Containment,Success,WAF
29593,115,Containment,Failure,IDS
29594,18,Block IP,Failure,Endpoint Detection
29595,167,Patch,Success,IDS
29596,42,Reset Credentials,Failure,Endpoint Detection
29597,155,Patch,Failure,SIEM
29598,150,Reset Credentials,Failure,Endpoint Detection
29599,139,Block IP,Failure,VPN
29600,147,Block IP,Success,Endpoint Detection
29601,127,Containment,Failure,Antivirus
29602,147,Patch,Success,Firewall
29603,68,Reset Credentials,Success,Antivirus
29604,42,Reset Credentials,Failure,Antivirus
29605,53,Patch,Failure,WAF
29606,89,Quarantine,Success,Firewall
29607,90,Patch,Success,MFA
29608,103,Quarantine,Failure,MFA
29609,70,Block IP,Success,SIEM
29610,111,Containment,Success,Endpoint Detection
29611,85,Reset Credentials,Success,Endpoint Detection
29612,164,Patch,Success,Endpoint Detection
29613,37,Quarantine,Failure,Antivirus
29614,119,Reset Credentials,Failure,SIEM
29615,94,Patch,Failure,Endpoint Detection
29616,7,Containment,Failure,SIEM
29617,25,Patch,Failure,WAF
29618,46,Quarantine,Failure,WAF
29619,27,Quarantine,Success,Antivirus
29620,51,Quarantine,Failure,Firewall
29621,46,Quarantine,Failure,Antivirus
29622,145,Patch,Success,Firewall
29623,89,Quarantine,Success,Firewall
29624,130,Containment,Failure,IDS
29625,59,Quarantine,Failure,Endpoint Detection
29626,128,Containment,Success,WAF
29627,5,Patch,Failure,Firewall
29628,81,Patch,Success,SIEM
29629,126,Patch,Failure,VPN
29630,31,Containment,Failure,VPN
29631,2,Containment,Success,Endpoint Detection
29632,51,Patch,Failure,SIEM
29633,12,Containment,Failure,Firewall
29634,27,Quarantine,Failure,Firewall
29635,92,Reset Credentials,Success,WAF
29636,111,Containment,Success,IDS
29637,169,Quarantine,Failure,MFA
29638,64,Quarantine,Success,Firewall
29639,175,Patch,Success,IDS
29640,122,Patch,Failure,MFA
29641,174,Patch,Failure,VPN
29642,110,Block IP,Failure,Endpoint Detection
29643,179,Patch,Failure,Antivirus
29644,132,Patch,Failure,IDS
29645,8,Block IP,Success,WAF
29646,14,Containment,Failure,Firewall
29647,53,Patch,Failure,SIEM
29648,106,Reset Credentials,Success,IDS
29649,118,Block IP,Success,IDS
29650,163,Reset Credentials,Failure,IDS
29651,78,Reset Credentials,Success,MFA
29652,141,Patch,Success,IDS
29653,17,Quarantine,Success,IDS
29654,6,Reset Credentials,Failure,Endpoint Detection
29655,7,Patch,Failure,Antivirus
29656,19,Containment,Failure,IDS
29657,10,Reset Credentials,Failure,Endpoint Detection
29658,141,Containment,Failure,Antivirus
29659,34,Block IP,Failure,VPN
29660,153,Quarantine,Success,Antivirus
29661,150,Quarantine,Success,SIEM
29662,102,Patch,Failure,Antivirus
29663,62,Reset Credentials,Success,Firewall
29664,30,Patch,Success,WAF
29665,163,Block IP,Success,SIEM
29666,35,Block IP,Failure,SIEM
29667,25,Patch,Success,SIEM
29668,34,Reset Credentials,Success,MFA
29669,167,Patch,Success,SIEM
29670,151,Block IP,Success,SIEM
29671,164,Reset Credentials,Success,MFA
29672,122,Quarantine,Success,Firewall
29673,2,Patch,Success,Endpoint Detection
29674,75,Reset Credentials,Success,Firewall
29675,132,Quarantine,Failure,VPN
29676,13,Quarantine,Success,WAF
29677,124,Reset Credentials,Success,Endpoint Detection
29678,149,Patch,Failure,Firewall
29679,72,Containment,Success,Endpoint Detection
29680,26,Patch,Failure,Firewall
29681,9,Block IP,Failure,Firewall
29682,82,Reset Credentials,Success,MFA
29683,30,Block IP,Success,Antivirus
29684,99,Patch,Success,WAF
29685,120,Block IP,Failure,VPN
29686,30,Patch,Failure,WAF
29687,122,Patch,Failure,SIEM
29688,134,Block IP,Success,MFA
29689,38,Patch,Success,MFA
29690,147,Patch,Success,Firewall
29691,113,Quarantine,Success,Endpoint Detection
29692,110,Reset Credentials,Failure,IDS
29693,98,Quarantine,Success,Firewall
29694,87,Patch,Failure,VPN
29695,8,Containment,Failure,Endpoint Detection
29696,59,Quarantine,Failure,Endpoint Detection
29697,2,Block IP,Failure,IDS
29698,59,Block IP,Failure,SIEM
29699,91,Quarantine,Failure,IDS
29700,76,Block IP,Failure,VPN
29701,163,Patch,Success,VPN
29702,100,Reset Credentials,Failure,WAF
29703,3,Containment,Failure,Antivirus
29704,69,Quarantine,Success,SIEM
29705,159,Patch,Failure,VPN
29706,5,Containment,Success,MFA
29707,164,Containment,Failure,Endpoint Detection
29708,59,Reset Credentials,Success,IDS
29709,62,Patch,Success,WAF
29710,109,Quarantine,Failure,Endpoint Detection
29711,77,Containment,Failure,WAF
29712,65,Reset Credentials,Success,SIEM
29713,27,Reset Credentials,Failure,SIEM
29714,90,Block IP,Success,VPN
29715,90,Containment,Success,VPN
29716,31,Quarantine,Failure,Antivirus
29717,152,Containment,Success,Firewall
29718,131,Block IP,Failure,WAF
29719,128,Quarantine,Failure,SIEM
29720,129,Reset Credentials,Success,Firewall
29721,149,Block IP,Success,WAF
29722,112,Block IP,Success,Firewall
29723,38,Reset Credentials,Failure,IDS
29724,148,Containment,Success,Endpoint Detection
29725,52,Containment,Failure,Antivirus
29726,74,Reset Credentials,Failure,SIEM
29727,149,Patch,Success,Antivirus
29728,149,Patch,Failure,VPN
29729,180,Quarantine,Failure,MFA
29730,164,Reset Credentials,Success,Endpoint Detection
29731,126,Block IP,Failure,SIEM
29732,51,Reset Credentials,Success,SIEM
29733,169,Containment,Success,WAF
29734,57,Patch,Failure,MFA
29735,28,Block IP,Failure,IDS
29736,107,Reset Credentials,Success,Firewall
29737,95,Containment,Failure,Endpoint Detection
29738,166,Containment,Success,Firewall
29739,168,Patch,Failure,SIEM
29740,80,Patch,Success,VPN
29741,16,Quarantine,Success,Endpoint Detection
29742,170,Block IP,Failure,SIEM
29743,36,Quarantine,Success,VPN
29744,97,Block IP,Failure,Endpoint Detection
29745,40,Patch,Failure,Antivirus
29746,160,Patch,Success,IDS
29747,125,Containment,Failure,Antivirus
29748,53,Patch,Success,VPN
29749,103,Patch,Failure,Antivirus
29750,90,Patch,Success,Firewall
29751,166,Patch,Failure,Endpoint Detection
29752,120,Quarantine,Failure,Antivirus
29753,67,Containment,Failure,SIEM
29754,103,Patch,Success,MFA
29755,91,Quarantine,Success,Endpoint Detection
29756,50,Reset Credentials,Failure,Firewall
29757,55,Quarantine,Success,IDS
29758,112,Containment,Failure,WAF
29759,34,Quarantine,Failure,Firewall
29760,59,Patch,Failure,MFA
29761,76,Block IP,Success,Endpoint Detection
29762,169,Block IP,Success,WAF
29763,63,Containment,Success,WAF
29764,154,Block IP,Success,WAF
29765,38,Reset Credentials,Success,VPN
29766,174,Patch,Failure,MFA
29767,58,Containment,Failure,WAF
29768,118,Reset Credentials,Success,Firewall
29769,161,Quarantine,Success,Endpoint Detection
29770,150,Patch,Failure,Firewall
29771,53,Containment,Success,SIEM
29772,138,Containment,Failure,Firewall
29773,137,Block IP,Failure,Antivirus
29774,24,Patch,Success,MFA
29775,176,Reset Credentials,Failure,WAF
29776,103,Reset Credentials,Failure,IDS
29777,87,Quarantine,Failure,Antivirus
29778,71,Containment,Failure,MFA
29779,65,Quarantine,Success,Antivirus
29780,170,Block IP,Success,Antivirus
29781,48,Block IP,Failure,Antivirus
29782,88,Patch,Success,SIEM
29783,113,Reset Credentials,Success,VPN
29784,70,Patch,Failure,Firewall
29785,163,Quarantine,Success,MFA
29786,56,Quarantine,Failure,Endpoint Detection
29787,79,Patch,Success,IDS
29788,62,Block IP,Failure,Firewall
29789,146,Quarantine,Failure,IDS
29790,87,Containment,Success,VPN
29791,80,Patch,Success,Firewall
29792,112,Quarantine,Failure,IDS
29793,144,Block IP,Failure,Firewall
29794,9,Patch,Failure,Endpoint Detection
29795,168,Block IP,Success,SIEM
29796,108,Reset Credentials,Failure,IDS
29797,13,Reset Credentials,Failure,VPN
29798,14,Containment,Failure,SIEM
29799,98,Quarantine,Failure,WAF
29800,115,Quarantine,Failure,Antivirus
29801,107,Block IP,Success,SIEM
29802,14,Quarantine,Failure,WAF
29803,178,Block IP,Success,IDS
29804,167,Block IP,Failure,SIEM
29805,29,Reset Credentials,Failure,IDS
29806,122,Quarantine,Failure,IDS
29807,168,Containment,Success,VPN
29808,150,Quarantine,Failure,IDS
29809,114,Quarantine,Success,Endpoint Detection
29810,1,Quarantine,Success,Antivirus
29811,92,Containment,Success,WAF
29812,82,Containment,Failure,MFA
29813,40,Reset Credentials,Failure,SIEM
29814,5,Quarantine,Success,Firewall
29815,160,Block IP,Success,SIEM
29816,150,Quarantine,Failure,SIEM
29817,129,Block IP,Failure,Endpoint Detection
29818,36,Quarantine,Failure,SIEM
29819,115,Reset Credentials,Success,SIEM
29820,18,Quarantine,Success,IDS
29821,34,Block IP,Success,Firewall
29822,33,Containment,Failure,IDS
29823,23,Block IP,Failure,WAF
29824,24,Reset Credentials,Failure,SIEM
29825,57,Containment,Failure,IDS
29826,175,Quarantine,Success,SIEM
29827,97,Block IP,Success,IDS
29828,74,Containment,Success,Antivirus
29829,17,Patch,Failure,VPN
29830,130,Quarantine,Success,SIEM
29831,36,Patch,Success,Endpoint Detection
29832,7,Patch,Success,WAF
29833,29,Reset Credentials,Failure,WAF
29834,85,Reset Credentials,Failure,VPN
29835,115,Patch,Success,VPN
29836,51,Reset Credentials,Success,IDS
29837,63,Containment,Success,Endpoint Detection
29838,29,Quarantine,Success,Endpoint Detection
29839,23,Patch,Success,MFA
29840,136,Block IP,Success,IDS
29841,57,Quarantine,Success,MFA
29842,92,Quarantine,Success,MFA
29843,50,Reset Credentials,Success,SIEM
29844,106,Reset Credentials,Success,MFA
29845,37,Patch,Failure,Antivirus
29846,7,Reset Credentials,Success,Endpoint Detection
29847,88,Reset Credentials,Success,Firewall
29848,123,Quarantine,Success,IDS
29849,173,Block IP,Success,WAF
29850,28,Reset Credentials,Failure,IDS
29851,163,Patch,Failure,Endpoint Detection
29852,167,Patch,Failure,IDS
29853,32,Patch,Success,Antivirus
29854,160,Block IP,Success,IDS
29855,175,Quarantine,Success,WAF
29856,37,Quarantine,Failure,SIEM
29857,66,Containment,Success,Antivirus
29858,44,Block IP,Success,IDS
29859,68,Quarantine,Success,VPN
29860,59,Reset Credentials,Success,IDS
29861,137,Containment,Success,SIEM
29862,87,Reset Credentials,Failure,VPN
29863,41,Containment,Success,WAF
29864,9,Quarantine,Success,Endpoint Detection
29865,125,Block IP,Failure,VPN
29866,150,Containment,Failure,VPN
29867,98,Block IP,Success,MFA
29868,2,Containment,Failure,Endpoint Detection
29869,169,Containment,Failure,SIEM
29870,46,Block IP,Failure,Antivirus
29871,57,Reset Credentials,Failure,IDS
29872,135,Quarantine,Success,SIEM
29873,20,Quarantine,Success,IDS
29874,2,Quarantine,Failure,Firewall
29875,68,Containment,Success,Endpoint Detection
29876,151,Containment,Success,WAF
29877,7,Containment,Success,Antivirus
29878,56,Containment,Failure,Firewall
29879,83,Patch,Success,WAF
29880,17,Containment,Failure,IDS
29881,101,Quarantine,Failure,WAF
29882,110,Patch,Failure,MFA
29883,74,Patch,Success,Firewall
29884,108,Patch,Failure,Antivirus
29885,130,Block IP,Success,VPN
29886,60,Quarantine,Failure,SIEM
29887,150,Reset Credentials,Success,Antivirus
29888,26,Quarantine,Success,Antivirus
29889,30,Reset Credentials,Success,Endpoint Detection
29890,162,Patch,Failure,Firewall
29891,76,Quarantine,Failure,SIEM
29892,36,Patch,Success,WAF
29893,126,Quarantine,Failure,Endpoint Detection
29894,112,Quarantine,Failure,VPN
29895,61,Reset Credentials,Success,IDS
29896,111,Quarantine,Success,VPN
29897,94,Patch,Success,IDS
29898,40,Quarantine,Success,SIEM
29899,5,Block IP,Success,Endpoint Detection
29900,23,Quarantine,Success,Endpoint Detection
29901,174,Containment,Success,MFA
29902,64,Patch,Failure,Endpoint Detection
29903,31,Patch,Failure,WAF
29904,179,Quarantine,Failure,Endpoint Detection
29905,55,Containment,Failure,Firewall
29906,90,Reset Credentials,Success,VPN
29907,128,Reset Credentials,Success,Endpoint Detection
29908,73,Quarantine,Success,MFA
29909,84,Quarantine,Success,Antivirus
29910,99,Quarantine,Failure,Firewall
29911,79,Reset Credentials,Success,VPN
29912,33,Reset Credentials,Success,MFA
29913,51,Reset Credentials,Failure,VPN
29914,57,Reset Credentials,Success,SIEM
29915,167,Containment,Failure,MFA
29916,150,Reset Credentials,Failure,Firewall
29917,16,Block IP,Success,MFA
29918,65,Containment,Success,Firewall
29919,32,Patch,Success,MFA
29920,91,Containment,Success,WAF
29921,150,Quarantine,Failure,Firewall
29922,117,Quarantine,Success,WAF
29923,36,Quarantine,Failure,Antivirus
29924,87,Patch,Success,Antivirus
29925,124,Block IP,Failure,VPN
29926,160,Quarantine,Failure,WAF
29927,35,Containment,Success,Antivirus
29928,6,Patch,Success,WAF
29929,122,Quarantine,Success,Endpoint Detection
29930,34,Reset Credentials,Failure,IDS
29931,148,Patch,Failure,WAF
29932,26,Containment,Success,Antivirus
29933,81,Patch,Failure,WAF
29934,114,Block IP,Success,IDS
29935,106,Block IP,Failure,Firewall
29936,68,Containment,Success,Firewall
29937,16,Block IP,Failure,Firewall
29938,71,Quarantine,Failure,Antivirus
29939,21,Reset Credentials,Failure,VPN
29940,42,Patch,Success,MFA
29941,24,Patch,Success,SIEM
29942,130,Block IP,Success,Antivirus
29943,109,Patch,Success,Antivirus
29944,105,Reset Credentials,Failure,MFA
29945,140,Reset Credentials,Failure,WAF
29946,64,Block IP,Success,Firewall
29947,159,Reset Credentials,Failure,Endpoint Detection
29948,144,Quarantine,Success,Antivirus
29949,89,Quarantine,Success,MFA
29950,77,Quarantine,Failure,IDS
29951,82,Reset Credentials,Success,Antivirus
29952,41,Patch,Failure,IDS
29953,160,Quarantine,Failure,Firewall
29954,160,Patch,Success,Endpoint Detection
29955,123,Reset Credentials,Failure,SIEM
29956,36,Containment,Success,VPN
29957,156,Reset Credentials,Failure,IDS
29958,155,Quarantine,Success,WAF
29959,131,Patch,Success,WAF
29960,87,Block IP,Success,IDS
29961,91,Containment,Success,IDS
29962,151,Reset Credentials,Failure,IDS
29963,130,Quarantine,Failure,Antivirus
29964,139,Containment,Success,VPN
29965,176,Reset Credentials,Success,Endpoint Detection
29966,19,Quarantine,Failure,Antivirus
29967,148,Containment,Success,Antivirus
29968,16,Block IP,Failure,Antivirus
29969,87,Quarantine,Failure,Firewall
29970,1,Containment,Success,MFA
29971,114,Patch,Success,Antivirus
29972,23,Reset Credentials,Failure,IDS
29973,114,Reset Credentials,Failure,IDS
29974,172,Patch,Success,Endpoint Detection
29975,160,Containment,Failure,SIEM
29976,82,Reset Credentials,Failure,IDS
29977,180,Patch,Success,MFA
29978,22,Block IP,Success,VPN
29979,124,Containment,Success,SIEM
