incident_key,time_key,location_key,industry_key,attack_type,attack_severity,data_compromised_GB,attack_duration_min,response_time_min,outcome,TSI_score
33263,33263,3,5,Zero-Day Exploit,2,5.65,230,141,Success,3.3194999999999997
33264,33264,9,7,Malware,5,60.87,188,48,Failure,4.6261
33265,33265,3,5,SQL Injection,9,83.65,46,33,Success,6.6595
33266,33266,1,8,DDoS,10,18.1,191,148,Failure,7.009666666666666
33267,33267,2,5,Brute Force,9,78.77,245,34,Success,6.529766666666666
33268,33268,3,7,Zero-Day Exploit,10,39.68,140,85,Failure,6.607066666666667
33269,33269,8,1,Brute Force,8,40.59,148,142,Failure,6.784366666666666
33270,33270,1,2,Phishing,3,94.96,185,101,Failure,5.7321333333333335
33271,33271,5,4,Cross-Site Scripting,10,1.01,106,144,Failure,6.430300000000001
33272,33272,8,2,Ransomware,10,98.66,107,160,Failure,9.626466666666666
33273,33273,2,1,SQL Injection,3,64.48,66,36,Success,3.7344000000000004
33274,33274,10,5,Zero-Day Exploit,8,91.67,203,164,Failure,8.683433333333333
33275,33275,3,1,Ransomware,8,6.57,67,61,Failure,4.413766666666667
33276,33276,10,3,Zero-Day Exploit,4,14.5,240,169,Failure,4.851666666666667
33277,33277,2,7,SQL Injection,3,2.39,158,112,Failure,3.138366666666667
33278,33278,4,6,Brute Force,1,67.07,135,84,Success,3.8121
33279,33279,6,6,Brute Force,3,24.03,129,64,Success,2.987566666666667
33280,33280,9,5,Brute Force,10,47.36,203,123,Success,7.4708000000000006
33281,33281,7,2,Ransomware,10,50.39,147,110,Success,7.345033333333333
33282,33282,9,4,Cross-Site Scripting,4,56.12,137,35,Failure,3.866933333333333
33283,33283,1,1,Cross-Site Scripting,4,83.09,197,72,Success,5.292700000000001
33284,33284,2,6,Phishing,9,19.36,267,170,Failure,7.0141333333333336
33285,33285,7,3,Cross-Site Scripting,6,17.88,38,46,Success,3.703066666666667
33286,33286,2,1,Phishing,1,21.58,12,34,Failure,1.6140666666666668
33287,33287,10,4,Zero-Day Exploit,5,80.17,232,94,Success,5.971766666666666
33288,33288,5,1,Ransomware,10,35.21,274,122,Success,7.0896333333333335
33289,33289,6,4,Phishing,5,19.3,93,119,Success,4.562333333333333
33290,33290,7,6,Malware,4,45.94,194,176,Success,5.911533333333333
33291,33291,9,4,Brute Force,3,6.21,81,110,Success,3.2196333333333333
33292,33292,7,7,Ransomware,3,15.53,148,3,Success,1.7159000000000002
33293,33293,10,6,Brute Force,1,58.73,97,51,Success,3.0119
33294,33294,4,5,Phishing,4,90.18,202,52,Success,5.172066666666667
33295,33295,7,3,Cross-Site Scripting,1,12.43,135,152,Failure,3.306233333333333
33296,33296,3,8,Phishing,10,22.81,124,173,Success,7.567633333333333
33297,33297,10,1,Ransomware,5,76.26,234,106,Success,6.054466666666666
33298,33298,3,6,Zero-Day Exploit,10,18.67,99,43,Failure,5.276766666666667
33299,33299,7,6,Brute Force,2,40.1,41,92,Success,3.5363333333333333
33300,33300,1,6,Zero-Day Exploit,2,80.42,124,86,Success,4.645933333333334
33301,33301,9,7,Brute Force,6,18.47,84,109,Failure,4.770766666666667
33302,33302,7,1,Ransomware,4,70.01,172,34,Failure,4.266966666666667
33303,33303,10,8,Ransomware,1,17.27,250,90,Failure,2.4181
33304,33304,1,3,DDoS,9,68.71,81,36,Failure,6.261299999999999
33305,33305,4,3,Cross-Site Scripting,3,27.13,4,76,Success,3.2805666666666666
33306,33306,2,5,Phishing,8,22.84,235,113,Failure,5.768533333333334
33307,33307,10,5,Ransomware,7,20.72,261,47,Failure,4.204933333333334
33308,33308,1,6,Cross-Site Scripting,5,21.45,35,108,Failure,4.4435
33309,33309,3,5,DDoS,8,39.35,7,173,Failure,7.2638333333333325
33310,33310,8,6,Brute Force,8,75.14,220,67,Success,6.570866666666667
33311,33311,1,6,SQL Injection,8,21.57,172,134,Failure,6.080433333333334
33312,33312,6,1,Phishing,5,21.83,238,15,Failure,2.9049
33313,33313,10,1,Brute Force,6,46.67,72,173,Success,6.683433333333333
33314,33314,9,2,DDoS,3,28.44,45,40,Success,2.719866666666667
33315,33315,6,2,Zero-Day Exploit,9,89.34,78,103,Success,7.9968666666666675
33316,33316,9,8,Cross-Site Scripting,4,26.48,86,152,Success,4.927733333333333
33317,33317,6,5,Malware,4,89.77,25,14,Success,4.526433333333333
33318,33318,3,6,Zero-Day Exploit,6,79.64,101,178,Success,7.755866666666668
33319,33319,7,5,Ransomware,2,85.32,15,74,Success,4.592933333333334
33320,33320,6,5,Phishing,7,99.29,140,176,Success,8.712033333333334
33321,33321,3,3,SQL Injection,2,24.15,105,82,Success,2.891166666666667
33322,33322,10,5,Brute Force,3,53.63,98,162,Success,5.5089
33323,33323,4,8,Malware,1,78.05,154,72,Success,3.9414999999999996
33324,33324,6,5,Malware,9,50.09,262,42,Failure,5.802700000000001
33325,33325,9,3,Brute Force,6,82.01,220,32,Failure,5.393633333333334
33326,33326,6,7,Cross-Site Scripting,7,19.63,142,117,Success,5.338900000000001
33327,33327,6,7,Malware,8,59.51,288,149,Failure,7.468633333333333
33328,33328,5,2,SQL Injection,7,16.3,128,30,Failure,3.789
33329,33329,6,1,Zero-Day Exploit,8,95.61,200,93,Failure,7.6183000000000005
33330,33330,6,2,SQL Injection,9,64.31,102,17,Success,5.812633333333333
33331,33331,1,8,Cross-Site Scripting,10,73.25,66,89,Success,7.680833333333333
33332,33332,3,1,Malware,3,84.09,80,92,Failure,5.256033333333333
33333,33333,2,1,Zero-Day Exploit,5,38.44,58,150,Failure,5.6532
33334,33334,2,2,DDoS,9,99.38,154,121,Success,8.598066666666666
33335,33335,1,2,Phishing,6,64.43,16,132,Failure,6.5329
33336,33336,3,7,Ransomware,6,31.57,42,136,Success,5.613766666666667
33337,33337,5,8,DDoS,9,26.35,218,133,Success,6.607166666666667
33338,33338,6,7,SQL Injection,3,73.81,204,128,Failure,5.547633333333334
33339,33339,8,5,Cross-Site Scripting,5,66.15,6,14,Failure,4.217833333333333
33340,33340,4,6,Brute Force,1,2.12,300,149,Success,2.946933333333333
33341,33341,3,8,DDoS,3,88.18,172,21,Failure,4.1954
33342,33342,3,5,Phishing,3,78.22,161,29,Success,4.029933333333333
33343,33343,10,5,Brute Force,2,85.31,181,31,Success,3.875966666666666
33344,33344,2,6,DDoS,8,25.83,56,169,Success,6.791566666666666
33345,33345,4,1,DDoS,1,46.09,145,52,Failure,2.6493666666666664
33346,33346,4,8,Malware,2,17.3,18,39,Success,1.9689999999999999
33347,33347,3,7,Ransomware,3,25.51,235,76,Failure,3.2319666666666667
33348,33348,2,3,Ransomware,3,93.79,228,34,Success,4.5803666666666665
33349,33349,8,5,DDoS,5,96.21,221,10,Success,5.052966666666666
33350,33350,1,1,DDoS,4,64.74,71,60,Failure,4.5422
33351,33351,5,6,Phishing,5,96.51,149,71,Failure,6.0786333333333324
33352,33352,3,3,Phishing,4,67.79,151,149,Failure,6.1170333333333335
33353,33353,6,3,Phishing,3,42.92,2,73,Success,3.7042666666666664
33354,33354,2,7,SQL Injection,7,17.37,4,159,Failure,5.9711
33355,33355,2,3,Cross-Site Scripting,8,27.28,134,137,Success,6.301733333333333
33356,33356,2,5,Phishing,6,48.47,181,50,Success,4.687433333333333
33357,33357,1,5,Ransomware,9,69.16,163,7,Success,5.7914666666666665
33358,33358,9,8,DDoS,4,87.44,147,154,Success,6.789866666666667
33359,33359,1,8,SQL Injection,2,67.71,8,31,Success,3.3479666666666663
33360,33360,2,2,Cross-Site Scripting,3,52.31,245,178,Success,5.735966666666667
33361,33361,4,8,Phishing,5,41.78,206,155,Failure,5.836733333333333
33362,33362,9,8,Phishing,6,41.45,115,57,Success,4.593500000000001
33363,33363,1,5,Brute Force,8,51.33,149,135,Failure,6.9899000000000004
33364,33364,4,5,Brute Force,8,60.95,256,164,Success,7.761833333333334
33365,33365,9,6,DDoS,1,74.03,291,58,Failure,3.5875666666666666
33366,33366,3,5,Brute Force,7,60.51,26,30,Failure,5.1153
33367,33367,10,2,DDoS,4,94.61,29,101,Success,6.1216333333333335
33368,33368,5,8,Cross-Site Scripting,5,50.8,168,147,Success,5.974
33369,33369,3,4,SQL Injection,1,2.96,263,151,Success,3.0054666666666665
33370,33370,7,7,SQL Injection,10,67.77,175,150,Success,8.5331
33371,33371,2,2,Phishing,10,64.87,53,121,Success,7.962766666666667
33372,33372,9,4,Malware,1,58.56,59,108,Failure,3.9568
33373,33373,8,1,Malware,5,33.32,285,39,Success,3.6496
33374,33374,10,3,SQL Injection,5,1.73,129,160,Success,4.718566666666666
33375,33375,9,6,SQL Injection,10,9.37,144,111,Failure,6.1311
33376,33376,5,8,SQL Injection,7,86.86,156,134,Success,7.6391333333333336
33377,33377,4,5,SQL Injection,9,31.84,146,165,Success,7.305199999999999
33378,33378,7,7,DDoS,4,74.81,76,91,Success,5.360966666666666
33379,33379,8,8,DDoS,1,4.52,176,15,Failure,0.7856
33380,33380,3,8,Phishing,10,24.16,296,22,Failure,5.091466666666666
33381,33381,2,6,Brute Force,4,85.12,6,7,Success,4.270266666666666
33382,33382,1,5,DDoS,6,59.32,180,151,Success,6.696266666666667
33383,33383,3,6,Ransomware,2,59.67,226,148,Success,5.056766666666666
33384,33384,8,1,Zero-Day Exploit,8,96.1,93,21,Success,6.433
33385,33385,4,2,SQL Injection,2,16.08,188,81,Success,2.6323999999999996
33386,33386,5,1,Malware,3,67.3,153,113,Success,5.102333333333333
33387,33387,9,3,SQL Injection,2,47.68,78,55,Failure,3.1470666666666665
33388,33388,7,5,Brute Force,2,2.07,18,46,Success,1.6287666666666667
33389,33389,4,3,Phishing,7,30.06,106,101,Failure,5.385133333333334
33390,33390,8,1,DDoS,3,54.61,182,84,Failure,4.238300000000001
33391,33391,8,3,SQL Injection,8,87.2,264,100,Success,7.482666666666667
33392,33392,8,3,Brute Force,10,54.23,102,18,Success,5.9269
33393,33393,4,3,Zero-Day Exploit,2,98.89,213,96,Success,5.3667
33394,33394,9,2,Cross-Site Scripting,5,60.63,126,77,Failure,5.102233333333333
33395,33395,5,2,Ransomware,9,5.28,255,83,Success,5.141733333333334
33396,33396,8,1,Phishing,10,27.05,271,36,Failure,5.411499999999999
33397,33397,2,6,Cross-Site Scripting,3,6.13,123,127,Success,3.500566666666667
33398,33398,2,5,Phishing,1,29.74,103,59,Success,2.275533333333333
33399,33399,4,1,DDoS,2,90.2,166,172,Failure,6.372666666666667
33400,33400,2,1,Cross-Site Scripting,2,93.08,108,105,Failure,5.3424
33401,33401,8,3,Cross-Site Scripting,8,81.82,44,8,Success,5.787933333333334
33402,33402,5,4,Zero-Day Exploit,10,63.08,187,176,Failure,8.825733333333334
33403,33403,7,2,Cross-Site Scripting,9,81.74,175,157,Success,8.668866666666666
33404,33404,8,6,Malware,1,69.97,211,35,Success,3.0824333333333334
33405,33405,7,4,Ransomware,6,70.63,169,173,Failure,7.402233333333333
33406,33406,6,2,Cross-Site Scripting,3,33.81,95,147,Failure,4.6643
33407,33407,1,6,Phishing,10,5.45,20,96,Success,5.7635
33408,33408,8,1,Brute Force,9,24.99,74,37,Success,4.966366666666667
33409,33409,6,4,Zero-Day Exploit,9,7.75,72,136,Success,6.099166666666667
33410,33410,1,8,Cross-Site Scripting,2,26.19,288,123,Success,3.6357000000000004
33411,33411,6,4,Malware,6,8.5,199,154,Failure,5.221666666666667
33412,33412,8,5,SQL Injection,9,70.06,187,160,Success,8.368466666666666
33413,33413,10,5,DDoS,2,23.56,277,40,Failure,2.1734666666666667
33414,33414,3,2,Ransomware,2,61.61,98,131,Failure,4.831633333333333
33415,33415,3,3,DDoS,9,35.99,92,169,Failure,7.496366666666667
33416,33416,6,4,DDoS,5,11.17,279,87,Success,3.7851
33417,33417,5,7,Phishing,4,20.78,102,152,Failure,4.756733333333333
33418,33418,10,3,DDoS,8,44.5,211,114,Failure,6.4350000000000005
33419,33419,1,2,SQL Injection,1,96.73,15,130,Success,5.468566666666666
33420,33420,2,5,Phishing,5,2.37,117,104,Success,3.804433333333333
33421,33421,4,1,Brute Force,8,3.62,39,78,Failure,4.6086
33422,33422,2,2,Zero-Day Exploit,4,17.9,164,103,Success,3.8536666666666664
33423,33423,2,1,Malware,8,43.68,140,99,Failure,6.160400000000001
33424,33424,4,7,Brute Force,10,57.91,187,6,Success,5.837299999999999
33425,33425,3,2,DDoS,6,91.42,280,113,Success,7.025933333333333
33426,33426,8,8,Malware,8,76.17,30,93,Failure,7.035100000000001
33427,33427,9,8,Ransomware,10,50.48,265,94,Failure,7.081066666666667
33428,33428,9,6,Cross-Site Scripting,4,23.45,244,137,Failure,4.586833333333333
33429,33429,8,8,Malware,4,32.49,175,138,Failure,4.8747
33430,33430,2,8,Zero-Day Exploit,4,56.86,18,72,Failure,4.5058
33431,33431,8,3,Brute Force,3,98.54,250,8,Success,4.289533333333334
33432,33432,1,4,Cross-Site Scripting,6,90.52,30,146,Failure,7.548933333333334
33433,33433,4,3,DDoS,2,76.17,79,91,Success,4.601766666666667
33434,33434,5,4,Malware,9,99.3,123,99,Failure,8.229
33435,33435,6,1,Cross-Site Scripting,2,32.73,244,93,Success,3.3319
33436,33436,10,3,Phishing,8,16.11,27,163,Failure,6.399966666666666
33437,33437,6,4,Ransomware,2,61.94,294,35,Success,3.241533333333333
33438,33438,3,1,SQL Injection,4,17.54,123,136,Failure,4.3928666666666665
33439,33439,7,3,SQL Injection,6,41.72,290,13,Failure,3.868266666666667
33440,33440,1,2,Cross-Site Scripting,2,73.84,6,46,Success,3.7818666666666667
33441,33441,8,6,Ransomware,9,97.42,28,136,Success,8.789266666666666
33442,33442,9,7,SQL Injection,3,28.96,212,59,Success,3.052133333333334
33443,33443,6,4,Malware,4,32.96,80,124,Failure,4.655466666666667
33444,33444,1,8,DDoS,8,78.89,2,81,Failure,6.9167
33445,33445,3,1,Malware,9,58.75,127,61,Failure,6.379166666666666
33446,33446,7,5,Zero-Day Exploit,10,7.79,197,12,Success,4.4337
33447,33447,7,7,DDoS,5,18.09,180,71,Success,3.726033333333333
33448,33448,2,8,Brute Force,8,41.87,105,115,Success,6.372766666666667
33449,33449,7,1,Malware,9,76.01,86,52,Success,6.746966666666666
33450,33450,9,8,Zero-Day Exploit,1,77.85,224,177,Failure,5.685499999999999
33451,33451,9,8,Zero-Day Exploit,6,19.31,106,141,Success,5.3293
33452,33452,4,2,Ransomware,7,70.59,195,104,Success,6.6510333333333325
33453,33453,8,8,Zero-Day Exploit,7,85.48,97,6,Success,5.4643999999999995
33454,33454,2,6,Ransomware,8,57.29,67,154,Success,7.485366666666666
33455,33455,4,4,DDoS,7,97.64,87,135,Failure,7.9792000000000005
33456,33456,8,4,Ransomware,2,58.53,280,17,Failure,2.8392333333333335
33457,33457,6,3,Zero-Day Exploit,9,84.41,160,153,Failure,8.6823
33458,33458,10,1,Phishing,10,19.67,216,24,Success,4.9901
33459,33459,8,1,Malware,10,5.07,53,20,Success,4.485433333333333
33460,33460,2,1,Phishing,2,35.74,294,28,Failure,2.3388666666666666
33461,33461,1,8,DDoS,3,44.65,30,77,Success,3.8228333333333335
33462,33462,2,1,Brute Force,8,54.55,188,73,Success,6.053166666666667
33463,33463,8,5,Phishing,2,21.82,244,37,Failure,2.071266666666667
33464,33464,4,4,Ransomware,4,50.23,116,121,Success,5.123566666666667
33465,33465,7,8,DDoS,6,76.66,38,98,Failure,6.333133333333333
33466,33466,5,8,Malware,7,91.22,257,61,Failure,6.553266666666667
33467,33467,4,7,Cross-Site Scripting,9,98.63,89,25,Success,6.9755666666666665
33468,33468,8,1,Malware,3,82.74,189,58,Failure,4.648866666666667
33469,33469,6,1,Ransomware,3,35.0,103,123,Success,4.300000000000001
33470,33470,6,2,Malware,1,91.05,36,103,Success,4.848166666666666
33471,33471,3,2,DDoS,9,46.47,142,51,Success,5.8441
33472,33472,7,6,Ransomware,9,37.46,205,149,Failure,7.207133333333333
33473,33473,10,5,Zero-Day Exploit,9,16.36,62,148,Success,6.5574666666666666
33474,33474,9,2,Brute Force,4,26.33,264,146,Success,4.823233333333333
33475,33475,1,7,Ransomware,6,28.62,59,22,Failure,3.625266666666667
33476,33476,7,2,Brute Force,9,69.14,218,62,Failure,6.707533333333333
33477,33477,3,2,Brute Force,2,71.6,25,86,Success,4.381333333333334
33478,33478,7,4,Ransomware,7,81.92,273,117,Failure,7.2076
33479,33479,4,3,Ransomware,3,51.36,236,92,Failure,4.274133333333333
33480,33480,10,4,Malware,9,21.58,109,143,Failure,6.630733333333333
33481,33481,2,1,Cross-Site Scripting,2,82.68,115,104,Failure,5.013733333333333
33482,33482,10,8,SQL Injection,7,44.12,276,2,Failure,4.156933333333333
33483,33483,4,5,DDoS,3,40.58,256,109,Failure,4.234066666666666
33484,33484,4,4,SQL Injection,4,25.34,102,119,Failure,4.343533333333333
33485,33485,6,8,Phishing,1,39.98,138,57,Success,2.5493999999999994
33486,33486,9,8,Cross-Site Scripting,8,36.34,229,64,Success,5.356866666666667
33487,33487,7,4,Zero-Day Exploit,2,19.94,175,67,Failure,2.514866666666667
33488,33488,7,5,Cross-Site Scripting,7,45.81,246,32,Success,4.707633333333334
33489,33489,5,7,Zero-Day Exploit,1,64.83,75,36,Failure,2.9449
33490,33490,1,2,SQL Injection,7,2.87,148,82,Failure,4.252766666666667
33491,33491,8,7,Ransomware,5,25.48,174,155,Failure,5.347733333333333
33492,33492,2,1,Ransomware,3,8.77,150,104,Success,3.1964333333333332
33493,33493,8,6,Phishing,9,27.0,72,160,Success,7.076666666666666
33494,33494,1,1,SQL Injection,4,33.06,139,62,Failure,3.6251333333333333
33495,33495,10,1,Cross-Site Scripting,10,15.19,63,169,Failure,7.272366666666667
33496,33496,5,3,Zero-Day Exploit,2,71.78,159,36,Failure,3.5534000000000003
33497,33497,6,6,Malware,6,81.77,228,38,Failure,5.486433333333332
33498,33498,4,5,Ransomware,4,59.12,32,62,Success,4.406933333333333
33499,33499,2,5,Cross-Site Scripting,4,90.34,134,42,Success,5.0102
33500,33500,7,8,DDoS,2,29.13,287,166,Success,4.440566666666667
33501,33501,10,6,Brute Force,6,1.6,179,144,Failure,4.848000000000001
33502,33502,5,7,Ransomware,9,50.1,40,120,Failure,7.103
33503,33503,9,8,Cross-Site Scripting,7,89.96,47,77,Failure,6.7821333333333325
33504,33504,10,3,Brute Force,5,4.53,66,143,Success,4.519233333333332
33505,33505,5,2,Brute Force,7,18.91,150,144,Success,5.7673000000000005
33506,33506,8,5,Malware,3,34.04,77,49,Failure,3.0378666666666665
33507,33507,4,1,Malware,1,1.91,97,64,Success,1.5239666666666667
33508,33508,10,3,Phishing,8,70.02,36,112,Success,7.1672666666666665
33509,33509,6,4,SQL Injection,7,36.42,63,39,Success,4.5426
33510,33510,1,5,Phishing,8,18.87,148,145,Failure,6.182766666666667
33511,33511,3,6,SQL Injection,8,78.24,233,94,Success,7.113866666666667
33512,33512,6,8,Malware,4,98.05,127,43,Failure,5.258166666666667
33513,33513,4,5,Zero-Day Exploit,3,79.88,252,148,Success,6.063066666666666
33514,33514,2,2,DDoS,7,51.08,281,125,Failure,6.415733333333334
33515,33515,2,5,Phishing,2,14.59,111,74,Failure,2.471033333333333
33516,33516,2,7,Zero-Day Exploit,6,27.53,25,169,Success,6.0425666666666675
33517,33517,4,1,Phishing,8,56.26,194,158,Success,7.521133333333333
33518,33518,9,8,Ransomware,1,90.48,279,59,Success,4.097733333333333
33519,33519,1,6,Brute Force,5,28.58,103,120,Success,4.8574
33520,33520,9,2,SQL Injection,9,15.54,168,96,Failure,5.6662
33521,33521,5,2,Malware,1,91.12,257,74,Failure,4.366933333333333
33522,33522,1,4,DDoS,4,18.07,189,59,Failure,3.1254333333333335
33523,33523,3,8,SQL Injection,1,52.83,62,17,Success,2.268233333333333
33524,33524,10,1,Zero-Day Exploit,5,87.34,249,150,Success,7.1202000000000005
33525,33525,5,5,DDoS,6,71.51,223,108,Failure,6.345300000000001
33526,33526,4,5,Brute Force,8,61.25,80,105,Success,6.7875
33527,33527,5,5,DDoS,9,80.02,55,41,Failure,6.683933333333333
33528,33528,4,4,Phishing,4,44.91,236,60,Success,3.9473000000000003
33529,33529,3,1,Phishing,1,30.63,273,3,Success,1.3689000000000002
33530,33530,2,7,SQL Injection,1,16.52,120,69,Success,2.0456
33531,33531,8,6,Ransomware,3,86.19,106,148,Success,6.252366666666666
33532,33532,5,2,Brute Force,3,81.76,195,145,Failure,6.069466666666667
33533,33533,9,4,Cross-Site Scripting,3,14.41,79,110,Failure,3.465633333333334
33534,33534,5,4,Ransomware,3,48.41,144,60,Success,3.6523
33535,33535,3,5,Brute Force,5,63.2,263,80,Failure,5.229333333333333
33536,33536,4,5,Brute Force,1,71.78,48,94,Failure,4.120066666666666
33537,33537,3,6,Ransomware,3,90.45,63,58,Failure,4.880166666666667
33538,33538,6,1,Zero-Day Exploit,5,83.75,86,83,Success,5.895833333333333
33539,33539,8,2,Ransomware,4,94.78,149,99,Success,6.093400000000001
33540,33540,2,1,Malware,9,49.93,119,79,Success,6.4145666666666665
33541,33541,9,1,DDoS,5,27.38,106,92,Failure,4.354733333333334
33542,33542,5,3,SQL Injection,9,54.17,265,137,Failure,7.5084333333333335
33543,33543,7,8,Phishing,2,69.59,173,93,Failure,4.4376999999999995
33544,33544,6,1,Ransomware,5,35.47,137,180,Success,6.0641
33545,33545,5,3,Brute Force,2,17.51,65,85,Failure,2.7419666666666664
33546,33546,2,1,Zero-Day Exploit,10,46.17,86,121,Success,7.401766666666667
33547,33547,2,2,Brute Force,2,85.98,110,6,Failure,3.4794000000000005
33548,33548,7,4,Cross-Site Scripting,3,10.97,54,19,Failure,1.8457666666666668
33549,33549,6,3,Phishing,5,71.79,291,56,Failure,5.087033333333334
33550,33550,3,6,Phishing,10,9.3,35,167,Success,7.062333333333333
33551,33551,5,3,Malware,7,98.72,175,136,Success,8.028266666666667
33552,33552,5,3,DDoS,3,78.07,282,59,Failure,4.525433333333333
33553,33553,7,6,Zero-Day Exploit,1,72.0,236,146,Success,4.993333333333332
33554,33554,2,6,Ransomware,7,78.8,107,29,Failure,5.647333333333333
33555,33555,2,4,Zero-Day Exploit,4,90.14,217,32,Success,4.837533333333333
33556,33556,5,1,Ransomware,4,52.42,126,124,Success,5.239266666666667
33557,33557,6,2,Zero-Day Exploit,2,88.56,297,128,Failure,5.590133333333334
33558,33558,9,7,DDoS,6,50.92,37,126,Success,6.0276
33559,33559,1,6,Phishing,9,42.6,296,6,Success,4.978
33560,33560,1,7,Brute Force,3,36.65,1,109,Failure,4.1161666666666665
33561,33561,6,7,Phishing,5,92.79,234,40,Failure,5.450366666666667
33562,33562,1,2,Phishing,3,39.34,68,177,Failure,5.3302
33563,33563,2,3,DDoS,6,8.24,82,21,Success,2.9972000000000003
33564,33564,10,2,DDoS,4,88.55,97,141,Success,6.6065
33565,33565,8,8,Ransomware,7,46.08,110,18,Failure,4.4824
33566,33566,9,6,Malware,10,75.72,105,86,Success,7.704933333333333
33567,33567,6,7,Malware,4,28.12,48,86,Failure,3.8769333333333336
33568,33568,7,5,Cross-Site Scripting,3,7.02,3,41,Failure,2.093933333333333
33569,33569,2,8,Zero-Day Exploit,6,90.25,71,47,Failure,5.890833333333333
33570,33570,2,8,Cross-Site Scripting,10,85.71,66,115,Failure,8.487966666666667
33571,33571,2,5,Cross-Site Scripting,2,72.7,126,9,Success,3.131
33572,33572,4,4,Ransomware,4,14.99,4,25,Failure,2.4663666666666666
33573,33573,9,6,Malware,2,50.71,92,44,Success,3.0546333333333333
33574,33574,5,6,DDoS,10,70.95,78,125,Failure,8.211833333333335
33575,33575,6,6,DDoS,4,16.79,221,148,Failure,4.570366666666667
33576,33576,1,4,SQL Injection,8,81.39,267,122,Failure,7.675033333333333
33577,33577,8,2,Ransomware,6,71.21,213,29,Failure,5.019633333333334
33578,33578,5,8,SQL Injection,7,49.6,43,13,Success,4.504666666666667
33579,33579,2,1,DDoS,1,58.74,68,165,Success,4.9122
33580,33580,3,6,Malware,5,32.52,17,46,Failure,3.7422666666666666
33581,33581,2,3,DDoS,10,7.34,69,129,Failure,6.3702000000000005
33582,33582,5,2,Malware,5,87.69,15,127,Success,6.747366666666666
33583,33583,6,5,Cross-Site Scripting,8,3.02,70,25,Failure,3.7072666666666665
33584,33584,3,3,Cross-Site Scripting,1,19.07,73,45,Success,1.7221
33585,33585,4,8,Cross-Site Scripting,6,31.57,97,96,Success,4.9471
33586,33586,1,7,Cross-Site Scripting,8,13.58,236,31,Success,4.124066666666667
33587,33587,10,8,Ransomware,6,26.54,212,39,Failure,3.8462
33588,33588,2,2,Brute Force,4,83.25,92,27,Failure,4.5475
33589,33589,9,1,DDoS,5,34.59,261,70,Failure,4.204366666666667
33590,33590,10,6,Cross-Site Scripting,9,51.8,4,47,Success,5.937333333333333
33591,33591,7,7,Malware,2,25.11,179,176,Success,4.486633333333334
33592,33592,2,7,Phishing,2,31.07,203,90,Success,3.2321
33593,33593,5,7,Ransomware,2,16.71,274,110,Failure,3.1346333333333334
33594,33594,3,8,DDoS,8,85.87,36,168,Failure,8.5761
33595,33595,4,4,Ransomware,8,81.82,289,166,Success,8.421266666666668
33596,33596,10,8,Ransomware,7,21.83,223,45,Failure,4.2049
33597,33597,8,5,Brute Force,7,86.8,198,79,Success,6.720666666666666
33598,33598,10,5,Zero-Day Exploit,4,43.51,97,60,Failure,3.9053
33599,33599,8,8,DDoS,2,47.26,108,108,Success,4.017799999999999
33600,33600,6,5,Phishing,2,13.74,11,94,Failure,2.7788666666666666
33601,33601,7,4,SQL Injection,8,50.43,21,80,Success,6.0462333333333325
33602,33602,1,1,Cross-Site Scripting,5,70.26,75,168,Success,6.9078
33603,33603,8,7,Phishing,2,45.33,170,84,Failure,3.5599
33604,33604,8,5,Phishing,10,33.2,285,18,Failure,5.296
33605,33605,8,8,Cross-Site Scripting,4,61.99,96,180,Failure,6.4597
33606,33606,6,4,Malware,7,51.44,280,64,Success,5.409866666666667
33607,33607,2,4,Ransomware,5,31.19,137,155,Success,5.519033333333333
33608,33608,5,2,Cross-Site Scripting,7,26.47,189,57,Failure,4.5441
33609,33609,1,4,Brute Force,7,58.51,114,32,Failure,5.088633333333333
33610,33610,8,8,SQL Injection,7,72.24,136,60,Success,5.9672
33611,33611,10,1,Malware,8,62.97,268,117,Success,7.0391
33612,33612,7,2,DDoS,6,21.66,9,35,Success,3.6331333333333333
33613,33613,7,3,Cross-Site Scripting,2,21.05,59,60,Success,2.4315
33614,33614,2,6,Ransomware,3,28.94,75,76,Failure,3.3348666666666666
33615,33615,8,8,Malware,4,98.0,22,10,Failure,4.706666666666667
33616,33616,9,5,Malware,7,6.18,267,96,Failure,4.5854
33617,33617,7,1,Zero-Day Exploit,2,74.71,274,121,Success,5.057966666666667
33618,33618,9,4,Cross-Site Scripting,8,15.48,281,38,Failure,4.297733333333333
33619,33619,6,8,Brute Force,2,57.47,238,90,Success,4.0241
33620,33620,2,3,Phishing,6,53.73,169,179,Failure,6.995233333333334
33621,33621,4,3,Ransomware,10,77.24,85,107,Success,8.100533333333333
33622,33622,2,8,Ransomware,7,9.79,187,83,Failure,4.477033333333334
33623,33623,2,5,SQL Injection,8,19.82,259,168,Success,6.5946
33624,33624,1,7,SQL Injection,2,59.75,112,116,Failure,4.525833333333334
33625,33625,10,2,Malware,1,14.32,95,140,Failure,3.162933333333333
33626,33626,8,3,Malware,10,97.36,102,10,Failure,7.087466666666667
33627,33627,5,8,SQL Injection,9,48.58,237,4,Success,5.124066666666667
33628,33628,5,7,Cross-Site Scripting,3,86.35,270,29,Success,4.273833333333333
33629,33629,6,7,Phishing,4,21.4,199,153,Failure,4.792
33630,33630,9,7,Brute Force,7,94.43,201,149,Failure,8.116233333333334
